Album/Artist                                                                                                        |  Size | Type | Quality
        Pink Floyd (1968) A Saucerful Of Secrets                                                                    |  214M | FLAC | 762 L
        Pink Floyd - A Momentary Lapse Of Reason (FLAC)                                                             |  285M | FLAC | 780 L
        Pink Floyd - Atom Heart Mother (1994 Remaster) [1970-FLAC-Lossless-Log]                                     |  274M | FLAC | 737 L
        Pink Floyd-P.U.L.S.E. [FLAC] 1995 Japan Mini-LP MHCP 689-690                                                |       |      | 
            Disc 1                                                                                                  |  455M | FLAC | 836 L
            Disc 2                                                                                                  |  414M | FLAC | 807 L
        PinkFloyd_TheDivisionBell_1994_FLAC                                                                         |  382M | FLAC | 805 L
        Pink Floyd - The Final Cut  (2004)  [FLAC]                                                                  |  260M | FLAC | 787 L
        Pink Floyd-The Piper at the Gates of Dawn(1967)(3CDs Box Set)(40th Anniversary Limited Edition 2007)[EAC-FLA|       |      | 
            Cd-1                                                                                                    |  253M | FLAC | 839 L
            Cd-2                                                                                                    |  253M | FLAC | 846 L
            Cd-3                                                                                                    |  173M | FLAC | 756 L
        Pink Floyd - The Wall  (1994)  [FLAC]                                                                       |       |      | 
            Cd1                                                                                                     |  202M | FLAC | 722 L
            Cd2                                                                                                     |  231M | FLAC | 772 L
        Pink Floyd - Ummagumma [flac-log-cue]                                                                       |       |      | 
            Live Album                                                                                              |  220M | FLAC | 785 L
            Studio Album                                                                                            |  248M | FLAC | 741 L
        Pitty - 2003 - Admirável Chip Novo                                                                          |  271M | FLAC | 967 L
        Pitty - 2009 - Chiaroscuro                                                                                  |  309M | FLAC | 983 L
        P J Harvey - To Bring You My Love (FLAC)                                                                    |  237M | FLAC | 780 L
        PJ Harvey - White Chalk (2007) [FLAC]                                                                       |  174M | FLAC | 721 L
        Planet Funk - 2005 - The Illogical Consequence                                                              |  385M | FLAC | 912 L
        PLASMODIVM - 2011 - The Post-Modern Prometheus                                                              |  533M | FLAC | 1028 L
        Plaster- First Aid Kit (2005) [FLAC]                                                                        |  381M | FLAC | 790 L
        Pogled FLAC                                                                                                 |  296M | FLAC | 790 L
        POKE - Sassy-1997                                                                                           |  263M | FLAC | 764 L
        Pole Folder - Zero Gold (2005) [FLAC]                                                                       |  377M | FLAC | 896 L
        Pond [2009] Corridors Of Blissterday [Badminton Bandit, CDr]                                                |  176M | FLAC | 569 L
        Pond - Pond (1993)                                                                                          |  319M | FLAC | 988 L
        Porcupine Tree - Nil Recurring (Japan Release) [FLAC]                                                       |  217M | FLAC | 916 L
        Portal Theory - Echelon (2000) [FLAC]                                                                       |  369M | FLAC | 815 L
        Portishead - 1994 - Glory Box (UK Maxi-Single)                                                              | 92.6M | FLAC | 682 L
        Portishead - All Mine [1997CDFLACLossless]                                                                  |  105M | FLAC | 1115 L
        Portishead - Dummy                                                                                          |  250M | FLAC | 710 L
        Portishead - Glory Times                                                                                    |       |      | 
            Disc 1                                                                                                  |  115M | FLAC | 722 L
            Disc 2                                                                                                  |  119M | FLAC | 679 L
        Portishead - Portishead                                                                                     |  289M | FLAC | 802 L
        Portishead - Roseland NYC Live (1998) [FLAC]                                                                |  340M | FLAC | 831 L
        Portishead - Sour Times (1994-FLAC)                                                                         | 74.7M | FLAC | 683 L
        Portishead - Third (2008) [FLAC]                                                                            |  286M | FLAC | 815 L
        Pouva Vogal - Ao Vivo Em Porto Alegre (FLAC)                                                                |  510M | FLAC | 899 L
        Powerslave [1984]                                                                                           |  327M | FLAC | 887 L
            Bonus Disc                                                                                              |  120M | FLAC | 810 L
        Pretty Girls Make Graves - The New Romance (2003) [FLAC]                                                    |  260M | FLAC | 918 L
        Pretty Lights - I Know the Truth [Single] (2011) [FLAC]                                                     | 30.4M | FLAC | 885 L
        Princess Idiot - Perfect (2009)                                                                             |  301M | FLAC | 854 L
        Privacy - Without Mercy (2006) [FLAC]                                                                       | 64.9M | FLAC | 437 L
        Programmes- Vol. I - The Pleasure Principle                                                                 |  319M | FLAC | 872 L
        Project Pitchfork (2003) - Live 2003-2001                                                                   |  497M | FLAC | 1035 L
        Prokofiev- Symphony No. 5 - Romeo & Juliet                                                                  |  341M | FLAC | 637 L
        Psychaos - Science Fiction EP (1995) (FLAC 24bit)                                                           |  295M | FLAC | 2746 L
        Ptarmigan - Our Ancient Friends - FLAC                                                                      |  306M | FLAC | 837 L
        Ptarmigan - The Forest Darling FLAC                                                                         |  325M | FLAC | 853 L
        quarteto em cy 72                                                                                           |  175M | FLAC | 857 L
        Quarteto Em Cy - Em Cy Maior                                                                                |  169M | FLAC | 853 L
        Quarteto Em Cy & MPB-4 - Bate-Boca (1997) - [FLAC]                                                          |  261M | FLAC | 822 L
        Quaterna Requiem - Velha Gravura (1990)                                                                     |  307M | FLAC | 762 L
        Queen - A Day At The Races (1976) (Digital Remaster) (Japan SHM-CD) - 2011 [flac]                           |       |      | 
            Queen - A Day At The Races (Digital Remaster) (Japan SHM-CD) - Bonus EP - 2011 [flac]                   |  136M | FLAC | 847 L
            Queen - A Day At The Races (Digital Remaster) (Japan SHM-CD) - Disc 1 - 2011 [flac]                     |  282M | FLAC | 889 L
        Queen - A Night At The Opera (1975) (Digital Remaster) (Japan SHM-CD) - 2011 [flac]                         |       |      | 
            Queen - A Night At The Opera (Digital Remaster) (Japan SHM-CD) - Bonus EP - 2011 [flac]                 |  123M | FLAC | 908 L
            Queen - A Night At The Opera (Digital Remaster) (Japan SHM-CD) - Disc 1 - 2011 [flac]                   |  267M | FLAC | 866 L
        Queen - Queen (1973) (Digital Remaster) (Japan SHM-CD) - 2011 [flac]                                        |       |      | 
            Queen - Queen (Digital Remaster) (Japan SHM-CD) - Bonus EP - 2011 [flac]                                |  205M | FLAC | 936 L
            Queen - Queen (Digital Remaster) (Japan SHM-CD) - Disc 1 - 2011 [flac]                                  |  246M | FLAC | 887 L
        Queen - Queen II (1974) (Digital Remaster) (Japan SHM-CD) - 2011 [flac]                                     |       |      | 
            Queen - Queen II (Digital Remaster) (Japan SHM-CD) - Bonus EP - 2011 [flac]                             |  124M | FLAC | 910 L
            Queen - Queen II (Digital Remaster) (Japan SHM-CD) - Disc 1 - 2011 [flac]                               |  253M | FLAC | 868 L
        Queen - Sheer Heart Attack (1974) (Digital Remaster) (Japan SHM-CD) - 2011 [flac]                           |       |      | 
            Queen - Sheer Heart Attack (Digital Remaster) (Japan SHM-CD) - Bonus EP - 2011 [flac]                   |  101M | FLAC | 896 L
            Queen - Sheer Heart Attack (Digital Remaster) (Japan SHM-CD) - Disc 1 - 2011 [flac]                     |  247M | FLAC | 885 L
        Queen - You Don't Fool Me (The Remixes)                                                                     |  226M | FLAC | 954 L
        Quiet Nights                                                                                                |  215M | FLAC | 759 L
        Radiohead - Hail To The Thief (Collectors) [FLAC]                                                           |       |      | 
            Disc 1                                                                                                  |  367M | FLAC | 909 L
            Disc 2                                                                                                  |  303M | FLAC | 816 L
        Radiohead - The Bends (Collector's Edition)                                                                 |       |      | 
            Disc 1                                                                                                  |  332M | FLAC | 957 L
            Disc 2                                                                                                  |  444M | FLAC | 838 L
        Radiohead - The King Of Limbs - Aus Retail CD 2011                                                          |  209M | FLAC | 780 L
        Rah Band - Greatest Hits (1995)                                                                             |  447M | FLAC | 862 L
        Raimundos - Lavô Tá Novo [1995-CD-FLAC-CUE-LOG]                                                             |  258M | FLAC | 1016 L
        Rammstein - Sehnsucht (1997) [FLAC]                                                                         |  398M | FLAC | 1066 L
        Ramones - 1983 - Subterranean Jungle [FLAC]                                                                 |  373M | FLAC | 974 L
        Ramones - 1992 - Mondo Bizarro                                                                              |  274M | FLAC | 1033 L
        Ramones- Brain drain                                                                                        |  235M | FLAC | 940 L
        Ramones - Ramones (FLAC)                                                                                    |  306M | FLAC | 959 L
        Ramones - Rocket To Russia (FLAC)                                                                           |  308M | FLAC | 983 L
        Ramones - Too Tough To Die (1984) (2002 Rhino Remaster)                                                     |  510M | FLAC | 1011 L
        Rapture                                                                                                     |  225M | FLAC | 842 L
        Ravenous (1999, FLAC-EAC-CUE) - Damon Albarn & Michael Nyman                                                |  378M | FLAC | 711 L
        Ravi Shankar - The Sounds of India - 1957 FLAC                                                              |  224M | FLAC | 585 L
        Ray Charles - 1953-1959 - The Best Of Ray Charles - The Atlantic Years (1994)                               |  244M | FLAC | 612 L
        Ray Charles - 1987 - His Greatest Hits Vol 1                                                                |  337M | FLAC | 747 L
        Ray Charles - 1987 - His Greatest Hits Vol 2                                                                |  350M | FLAC | 740 L
        Real Estate - Days                                                                                          |  273M | FLAC | 922 L
        Real Illusions- Reflections                                                                                 |  390M | FLAC | 989 L
        Real Life [FLAC]                                                                                            |  366M | FLAC | 929 L
        Rebirth Brass Band - 1997 - We Come to Party [FLAC]                                                         |  373M | FLAC | 966 L
        Rebirth Brass Band - Rollin' (1994)                                                                         |  342M | FLAC | 898 L
        Rebirth For Life [2004]                                                                                     |  430M | FLAC | 973 L
        Rebirth of New Orleans                                                                                      |  368M | FLAC | 985 L
        Red                                                                                                         |  394M | FLAC | 873 L
        Red Extensions of Me                                                                                        |  399M | FLAC | 889 L
        Refused (1998) The Shape Of Punk To Come (2010 Deluxe Remaster) [FLAC]                                      |       |      | 
            Disc 1                                                                                                  |  348M | FLAC | 883 L
            Disc 2                                                                                                  |  350M | FLAC | 1001 L
        Regina Spektor - 2004 - Soviet Kitsch                                                                       |  204M | FLAC | 735 L
        Regina Spektor - 2006 - Begin To Hope - flac                                                                |  248M | FLAC | 735 L
        Regina Spektor - 2009 - Far (Deluxe Edition)                                                                |  300M | FLAC | 656 L
        Regina Spektor - Live at Bull Moose [FLAC] {Waffles}                                                        | 65.6M | FLAC | 569 L
        R.E.M. - 1984 - Reckoning (2009 Deluxe Edition) [FLAC]                                                      |       |      | 
            R.E.M. - 1984 - Reckoning                                                                               |  264M | FLAC | 951 L
            R.E.M. - 2009 - Live At The Aragon Ballroom                                                             |  415M | FLAC | 1035 L
        R.E.M. - 1987 - Dead Letter Office [1993, EMI Records, IRS Years Vintage]                                   |  465M | FLAC | 910 L
        R.E.M. - 2011 - Collapse Into Now                                                                           |  287M | FLAC | 979 L
        Remain In Light                                                                                             |  217M | FLAC | 757 L
        R.E.M._AroundTheSun_2004_FLAC                                                                               |  378M | FLAC | 957 L
        R.E.M._AutomaticForThePeople_1992_FLAC                                                                      |  314M | FLAC | 902 L
        R.E.M. - Document (1987) [FLAC]                                                                             |  261M | FLAC | 921 L
        R.E.M. - Fables Of The Reconstruction (25th Anniversary Edition) [FLAC] {Waffles}                           |       |      | 
            Disc 1 - Fables Of The Reconstruction                                                                   |  280M | FLAC | 987 L
            Disc 2 - The Athens Demos                                                                               |  325M | FLAC | 939 L
        R.E.M._Green_1988_FLAC                                                                                      |  262M | FLAC | 897 L
        R.E.M. - Lifes Rich Pageant (25th Anniversary Edition) [FLAC] {Waffles}                                     |       |      | 
            Disc 1                                                                                                  |  268M | FLAC | 980 L
            Disc 2                                                                                                  |  379M | FLAC | 955 L
        R.E.M._Monster_1994_FLAC                                                                                    |  326M | FLAC | 929 L
        R.E.M. - New Adventures In Hi-Fi                                                                            |  438M | FLAC | 937 L
        R.E.M. - Out Of Time                                                                                        |  292M | FLAC | 927 L
        R.E.M. - Reveal                                                                                             |  356M | FLAC | 928 L
        R.E.M._Up_1998_FLAC                                                                                         |  397M | FLAC | 863 L
        Resent And The April Sunshine Shed (FLAC)                                                                   |  357M | FLAC | 832 L
        Rest In Sleaze Japan CD With Bonus Trax                                                                     |  344M | FLAC | 1099 L
        Rhapsody Of Fire - 2006 - Triumph Or Agony (Limited edition) (FLAC)                                         |  479M | FLAC | 939 L
        Rhapsody of Fire - The Frozen Tears of Angels [FLAC]                                                        |  420M | FLAC | 963 L
        Richard and Linda Thompson - Shoot Out The Lights (SACD Hybrid Remaster) [FLAC] (What.cd)                   |  226M | FLAC | 829 L
        Richard the Lionhearted - Outliers -EP                                                                      |  315M | FLAC | 1593 L
        Richard the Lionhearted - Richard the Lionhearted                                                           |  292M | FLAC | 953 L
        Rick Wakeman - Rhapsodies [1979]                                                                            |  428M | FLAC | 888 L
        Rihanna - A Girl Like Me                                                                                    |  370M | FLAC | 961 L
        Rihanna - Good Girl Gone Bad (2007) [FLAC]                                                                  |  362M | FLAC | 1013 L
            Feat.Dance Remix                                                                                        |  607M | FLAC | 1077 L
        Rihanna-Music_Of_The_Sun-FLAC-2005-iND                                                                      |  366M | FLAC | 977 L
        Rihanna - Talk That Talk (Deluxe Edition) (FLAC)                                                            |  352M | FLAC | 1005 L
        Rise Against - 2003 - Revolutions Per Minute [FLAC]                                                         |  281M | FLAC | 1044 L
        Rise Against (2006) The Sufferer & the Witness [USA B000714302] [FLAC]                                      |  310M | FLAC | 1015 L
        Rise Against - Siren Song of the Counter Culture (FLAC)                                                     |  299M | FLAC | 1022 L
        Rita Lee - Lança Perfume (1980) FLAC                                                                        |  218M | FLAC | 854 L
        R. Kelly - The Best Of Both Worlds (2002)[FLAC]                                                             |  318M | FLAC | 909 L
        Roberta Flack - Softly With These Songs The Best Of (1993) [FLAC]                                           |  429M | FLAC | 786 L
        Robert Johnson - Close Personal Friend (1978) [FLAC] (Angel Air 2008)                                       |  487M | FLAC | 970 L
        Robert Johnson - From Four Till Late                                                                        |  143M | FLAC | 373 L
        Robert Johnson - Helhound On My Trail (1995) [FLAC]                                                         |  150M | FLAC | 331 L
        Robert Johnson - King of the Delta Blues Singers (1998) [FLAC] (Columbia CK 65746)                          |  207M | FLAC | 630 L
        Robert Johnson - The Complete Recordings                                                                    |       |      | 
            Disc 1                                                                                                  |  116M | FLAC | 298 L
            Disc 2                                                                                                  |  120M | FLAC | 328 L
        Robert Lopez & Jeff Marx - 2003 - Avenue Q- The Musical (Original Broadway Cast)                            |  345M | FLAC | 796 L
        Rob Zombie (1998) - Hellbilly Deluxe [FLAC]                                                                 |  277M | FLAC | 1009 L
        Rocky and Balls - 2011 - We Like Cakes and Beards and Stuff [FLAC]                                          |  122M | FLAC | 835 L
        Roger Waters - 1987 - Radio K.A.O.S. [FLAC]                                                                 |  233M | FLAC | 789 L
        Roger Waters - Amused To Death                                                                              |  353M | FLAC | 680 L
        Roger Waters - Flickering Flame                                                                             |  372M | FLAC | 740 L
        Roger Waters - In The Flesh - (2000) [FLAC]                                                                 |       |      | 
            Disc One                                                                                                |  442M | FLAC | 853 L
            Disc Two                                                                                                |  459M | FLAC | 856 L
        Roger Waters - The Pros and Cons of Hitchhiking                                                             |  220M | FLAC | 731 L
        Roger Waters - To Kill the Child & Leaving Beirut (2004)                                                    | 96.8M | FLAC | 845 L
        Róisín Murphy - 2007 - Overpowered                                                                          |  408M | FLAC | 957 L
        Roisin Murphy-Ruby Blue-2005                                                                                |  305M | FLAC | 886 L
        Rokk í Reykjavík                                                                                            |       |      | 
            Various -  - Upprunaleg tónlist úr kvikmyndinni Rokk í Reykjavík CD1                                    |  257M | FLAC | 826 L
            Various -  - Upprunaleg tónlist úr kvikmyndinni Rokk í Reykjavík CD2                                    |  274M | FLAC | 848 L
        Romanza                                                                                                     |  351M | FLAC | 743 L
        Ro-Me-Ro [FLAC]                                                                                             |  214M | FLAC | 732 L
        Rose Elinor Dougall - 2010 - Without Why                                                                    |  254M | FLAC | 920 L
            Rose Elinor Dougall - 2010 - Rough Trade Exclusive Bedroom Demos                                        | 87.8M | FLAC | 581 L
        Royal Philharmonic Orchestra - Holst - The Planets                                                          |  263M | FLAC | 594 L
        Röyksopp - 2002 - Melody A.M + Bonus                                                                        |       |      | 
            Röyksopp - 2002 - Melody A.M                                                                            |  263M | FLAC | 794 L
            Röyksopp - 2002 - Melody A.M. Bonus Disk                                                                |  156M | FLAC | 905 L
        Röyksopp - 2005 - The Understanding                                                                         |  385M | FLAC | 918 L
        Røyksopp - Back to Mine (FLAC)                                                                              |  428M | FLAC | 826 L
        Röyksopp - Poor Leno (UK Promo CDS) 2001 FLAC                                                               |  127M | FLAC | 913 L
        Röyksopp - Senior                                                                                           |  282M | FLAC | 708 L
        Ruby - Salt Peter Remixed (Limited Edition) 1996 (FLAC)                                                     |  416M | FLAC | 814 L
        Ryan Adams - Heartbreaker (2000) [FLAC]                                                                     |  286M | FLAC | 770 L
        Sadsic - [bedroom emotions] FLAC                                                                            |  273M | FLAC | 637 L
        Sadsic - [b. forever] FLAC                                                                                  |  138M | FLAC | 849 L
        Sadsic - [b. now] FLAC                                                                                      |  151M | FLAC | 792 L
        Sadsic - [sidewalk spark] FLAC                                                                              |  406M | FLAC | 777 L
        Sadsic - [s. now] FLAC                                                                                      |  120M | FLAC | 818 L
        Sadsic - [son] FLAC                                                                                         | 1.66G | FLAC | 2588 L
        Sadsic - [souls of winter] FLAC                                                                             |  131M | FLAC | 723 L
        Sadsic - [spring of eternity] FLAC                                                                          |  175M | FLAC | 840 L
        Sadsic - [stranger ways] FLAC                                                                               |  481M | FLAC | 703 L
        Salmonella Dub - 1991 - Inside The Dub Plates                                                               |  357M | FLAC | 864 L
        Sam Roberts - 2004 - We Were Born in a Flame                                                                |  439M | FLAC | 958 L
        Sarah Brightman - 1997 - The Andrew Lloyd Webber Collection                                                 |  335M | FLAC | 709 L
        Sarah Brightman - A Winter Symphony (Barnes & Noble Exclusive) (2008) (flac)                                |  354M | FLAC | 903 L
        Satanic Panic In The Attic                                                                                  |  276M | FLAC | 886 L
        Satwa - Satwa (1973) [FLAC]                                                                                 |  268M | FLAC | 885 L
        Savatage - Edge of Thorns (1993)                                                                            |  321M | FLAC | 833 L
        Savatage - Fight for the Rock (1986)                                                                        |  312M | FLAC | 944 L
        Savatage - Japan Live '94 (1994)                                                                            |  383M | FLAC | 901 L
        Sawako - Bitter Sweet [12K1047] [2008]                                                                      |  187M | FLAC | 533 L
        Scion AV Presents - Skream And Benga EP (2012) [FLAC]                                                       |  163M | FLAC | 1030 L
        Scooter - 2001 - We Bring The Noise!                                                                        |  391M | FLAC | 1028 L
        Scooter - 2002 - Push The Beat For This Jam [The Second Chapter]                                            |       |      | 
            CD1                                                                                                     |  518M | FLAC | 945 L
            CD2                                                                                                     |  499M | FLAC | 985 L
        Scooter - 2007 - The Ultimate Aural Orgasm - 2CD Ltd. Tour Edition [FLAC]                                   |       |      | 
            CD1                                                                                                     |  353M | FLAC | 984 L
            CD2 (The Aural Section)                                                                                 |  296M | FLAC | 994 L
        Scooter - Fuck The Millennium (1999) [FLAC]                                                                 | 73.7M | FLAC | 949 L
        Scooter - The Big Mash Up - 2011 [FLAC]                                                                     |       |      | 
            CD1                                                                                                     |  462M | FLAC | 1087 L
            CD2 - Suck my megamix - The longest Scooter single in the world                                         |  651M | FLAC | 1144 L
        Scooter - The Singles 94-98 (Rough And Tough And Dangerous)                                                 |       |      | 
            Disc 1                                                                                                  |  468M | FLAC | 997 L
            Disc 2                                                                                                  |  552M | FLAC | 976 L
        Scott Walker - the Drift (2006) [FLAC]                                                                      |  322M | FLAC | 655 L
        SCRAM1 flac                                                                                                 | 59.0M | FLAC | 941 L
        Scuba (2010, FLAC-EAC-CUE) - Triangulation                                                                  |  358M | FLAC | 866 L
        Sean McCann (2010) - Leave Today [FLAC]                                                                     |  141M | FLAC | 415 L
        Sean Paul - Stage One (2000) (WH) [FLAC]                                                                    |  409M | FLAC | 865 L
        Secret Garden - The Best Of Secret Garden (2004) [FLAC]                                                     |  281M | FLAC | 723 L
        Sennen ~ Destroy Us [FLAC]                                                                                  |  157M | FLAC | 949 L
        Sense - A View From A Vulnerable Place [FLAC]                                                               |  375M | FLAC | 739 L
        Sepalcure - Sepalcure                                                                                       |  318M | FLAC | 857 L
        Sepultura - 1996 - The Roots of Sepultura [FLAC]                                                            |       |      | 
            CD1 - Roots                                                                                             |  485M | FLAC | 941 L
            CD2 - The Roots of Sepultura                                                                            |  549M | FLAC | 1044 L
        Sex Pistols - 2002 - Jubilee                                                                                |  307M | FLAC | 951 L
        Sex Pistols - God Save The Queen (1977) [FLAC]                                                              | 64.6M | FLAC | 906 L
        Sex Pistols - No Future-Spunk [FLAC]                                                                        |  339M | FLAC | 853 L
        Sex Pistols - The Great Rock 'n' Roll Swindle (1979) [FLAC]                                                 |  477M | FLAC | 901 L
        Sexy Sushi - Tu l'as bien mérité ! (2009) - FLAC                                                            |  312M | FLAC | 990 L
        Shakira - 2002 - Laundry Service (Limited Edition)                                                          |  411M | FLAC | 942 L
        Shakira - 2004 - Live & Off The Record                                                                      |  368M | FLAC | 928 L
        Shakira - Grandes Exitos FLAC                                                                               |  405M | FLAC | 959 L
        Shakira - MTV Unplugged                                                                                     |  327M | FLAC | 905 L
        Shakira - Oral Fixation Vol. 2                                                                              |  320M | FLAC | 898 L
        Shakira - Sale El Sol (2010) [FLAC]                                                                         |  308M | FLAC | 936 L
        Shakira - She Wolf (2009) [FLAC]                                                                            |  354M | FLAC | 912 L
        Sharon Van Etten - Because I Was In Love (2009) [FLAC]                                                      |  232M | FLAC | 729 L
        Sharon Van Etten - Epic [FLAC] {Waffles}                                                                    |  193M | FLAC | 840 L
        Shattered (EP) [2008] [FLAC]                                                                                |  110M | FLAC | 926 L
        she - coloris (2009) [FLAC]                                                                                 |  275M | FLAC | 925 L
        She & Him - 2010 - Volume Two [FLAC] {Japan, PCD-93325}                                                     |  295M | FLAC | 876 L
        SHM Who's Next UICY 91383                                                                                   |  481M | FLAC | 863 L
        Sierra Leone's Refugee All Stars - Rise & Shine                                                             |  372M | FLAC | 936 L
        Sigur Rós - Agætis Byrjun                                                                                   |  400M | FLAC | 778 L
        Sigur Rós - Inni FLAC                                                                                       |       |      | 
            Sigur Rós - Inni CD1 FLAC                                                                               |  302M | FLAC | 795 L
            Sigur Rós - Inni CD2 FLAC                                                                               |  278M | FLAC | 768 L
        Sigur Rós - Með suð í eyrum við spilum endalaust (2008) [FLAC]                                              |  336M | FLAC | 789 L
        Silence Drift - Aircode (2008) [FLAC] {Limited}                                                             |  134M | FLAC | 521 L
        Silence Would Be Better flac                                                                                |  143M | FLAC | 545 L
        Silverchair - Neon Ballroom                                                                                 |  347M | FLAC | 980 L
        Simon & Garfunkel - Bridge Over Troubled Water                                                              |  251M | FLAC | 800 L
        Sinatra and Strings (Remaster - 1998) [FLAC]                                                                |  193M | FLAC | 773 L
        Sinatra, Frank - 1957 - Where are you                                                                       |  230M | FLAC | 598 L
        Sinatra_Very_Good_Years                                                                                     |  388M | FLAC | 808 L
        Sinéad O'Connor - I Do Not Want What I Haven't Got                                                          |  261M | FLAC | 713 L
        Siouxsie and the Banshees - Juju [FLAC]                                                                     |  352M | FLAC | 925 L
        Siouxsie & The Banshees - The Best of Siouxsie & The Banshees (2CD) - (2002) [FLAC]                         |       |      | 
            Siouxsie And The Banshees - Best Of Siouxsie And The Banshees (CD2) - (2002) [FLAC]                     |  412M | FLAC | 894 L
            Siouxsie & The Banshees - The Best of Siouxsie & The Banshees - (2002) [FLAC]                           |  375M | FLAC | 918 L
        Sir Mix-a-lot - 1988 - Swass                                                                                |  288M | FLAC | 747 L
        Sister City - Carbon Footprint (FLAC)                                                                       |  296M | FLAC | 928 L
        Sisters of Mercy - Floodland (1987) [FLAC] (Elektra 9 60762-2)                                              |  370M | FLAC | 854 L
        Six Organs of Admittance - The Sun Awakens - FLAC                                                           |  265M | FLAC | 832 L
        Six Years Too Many FLAC                                                                                     |  163M | FLAC | 533 L
        Sizzla - 2004 - Stay Focus                                                                                  |  392M | FLAC | 993 L
        Skream - Outside The Box [Deluxe Edition]                                                                   |       |      | 
            CD1 - Outside The Box                                                                                   |  395M | FLAC | 872 L
            CD2 - Skreamizm [Exclusive Bonus CD]                                                                    |  209M | FLAC | 866 L
        Skrillex - Bangarang EP (2012)                                                                              |  236M | FLAC | 1095 L
        Skrillex - More Monsters and Sprites (2011) - FLAC                                                          |  254M | FLAC | 1071 L
        Skrillex - Scary Monsters And Nice Sprites                                                                  |  324M | FLAC | 1030 L
        Slayer - (1984) Show No Mercy                                                                               |  255M | FLAC | 922 L
        Slayer (1990) Seasons in the Abyss [FLAC]                                                                   |  285M | FLAC | 941 L
        Slayer - 2002 - God Hates Us All                                                                            |  364M | FLAC | 1031 L
        Slayer - 2006 - Christ Illusion                                                                             |  290M | FLAC | 1057 L
        Slayer - Reign In Blood (Expanded Edition)                                                                  |  268M | FLAC | 1079 L
        Slayer - South Of Heaven (1988)                                                                             |  254M | FLAC | 963 L
        Slayer - Undisputed Attitude (1996) [FLAC] {74321 35759 2}                                                  |  256M | FLAC | 1020 L
        Sleigh Bells - Treats (FLAC)                                                                                |  257M | FLAC | 1126 L
        Slow Club - Paradise (2011) [FLAC]                                                                          |  286M | FLAC | 892 L
        Smashing Pumpkins (1996) 1979                                                                               | 86.9M | FLAC | 829 L
        Smashing Pumpkins - Disconnect                                                                              |  541M | FLAC | 1024 L
        Smashing Pumpkins - Lull (FLAC)                                                                             | 90.3M | FLAC | 887 L
        Smashing Pumpkins - Mellon Collie & The Infinite Sadness (FLAC)                                             |       |      | 
            Disc 1 - Dawn To Dusk                                                                                   |  345M | FLAC | 835 L
            Disc 2 - Twilight To Starlight                                                                          |  375M | FLAC | 822 L
        Smashing Pumpkins - Pisces Iscariot (FLAC)                                                                  |  328M | FLAC | 800 L
        Smashing Pumpkins - Siamese Dream (FLAC)                                                                    |  364M | FLAC | 821 L
        Smashing Pumpkins - Unplugged                                                                               |  400M | FLAC | 805 L
        Smith Westerns - Dye It Blonde [FLAC]                                                                       |  261M | FLAC | 1034 L
        Smudge - Real McCoy, Wrong Sinatra (1998) (FLAC)                                                            |  243M | FLAC | 885 L
        Snoop Doggy Dogg - Doggystyle [Digitally Remastered]                                                        |  392M | FLAC | 1047 L
        So-Called Chaos                                                                                             |  291M | FLAC | 993 L
        Someone Still Loves You Boris Yeltsin - Let It Sway [FLAC]                                                  |  260M | FLAC | 884 L
        Some Velvet Morning - Silence Will Kill You [2007]                                                          |  261M | FLAC | 923 L
        Sonata Arctica                                                                                              |       |      | 
            Sonata Arctica - The Days Of Grays (FLAC)                                                               |  467M | FLAC | 1010 L
            Sonata Arctica - The Days of Grays (Orchestral CD) (FLAC)                                               |  249M | FLAC | 931 L
        Sonata Arctica - 2003 - Winterheart's Guild                                                                 |  361M | FLAC | 920 L
        Sonata Arctica - For The Sake Of Revenge [FLAC]                                                             |  500M | FLAC | 1003 L
        Sonata Arctica - The Collection (2006) [FLAC]                                                               |  585M | FLAC | 1042 L
        Songlines #70 - Musica Minas -- Music From Minas Gerais Brazil (2010)                                       |  485M | FLAC | 970 L
        Songs                                                                                                       |  232M | FLAC | 654 L
        Songs For Swingin' Lovers!                                                                                  |  197M | FLAC | 619 L
        Songs In Red And Gray                                                                                       |  273M | FLAC | 842 L
        Son House - Delta Blues And Spirituals [1995] FLAC                                                          |  179M | FLAC | 498 L
        Sonic Youth - A Thousand Leaves                                                                             |  455M | FLAC | 860 L
        Sonic Youth - Bad Moon Rising                                                                               |  271M | FLAC | 715 L
        Sonic Youth - Confusion Is Sex Plus Kill Yr. Idols                                                          |  289M | FLAC | 791 L
        Sonic Youth - Daydream Nation (Deluxe Edition) (1988) [FLAC]                                                |       |      | 
            Disc 1                                                                                                  |  484M | FLAC | 923 L
