Album/Artist                                                                                                        |  Size | Type | Quality
    Arktis                                                                                                          |       |      | 
        1974 - Arktis                                                                                               |  102M | MP3  | -b 320
        1975 - Arktis Tapes                                                                                         |  167M | MP3  | -b 320
        1975 - Last Arktis Tapes                                                                                    |  170M | MP3  | -b 320
        1975 - More Arktis Tapes                                                                                    |  172M | MP3  | -b 320
    Armageddon                                                                                                      |       |      | 
        armageddon - armageddon (1975 uk superb hard rock and hard prog - japan A&M edition - 320k)                 | 94.4M | MP3  | -b 320
    Armin Van Buuren                                                                                                |       |      | 
        2005 - Shivers                                                                                              |  166M | MP3  | 320 C
        2006 - 10 Years                                                                                             |       |      | 
            CD1                                                                                                     |  183M | MP3  | 320 C
            CD2                                                                                                     |  176M | MP3  | 320 C
        2008 - Imagine                                                                                              |  165M | MP3  | 301 ~
        2009 - Imagine: The Remixes                                                                                 |  309M | MP3  | 320 C
    Arnaldo Baptista                                                                                                |       |      | 
        1974 - Loki                                                                                                 | 78.1M | MP3  | 320 C
    Arrigo Barnabé                                                                                                  |       |      | 
        1980 - Clara Crocodilo                                                                                      | 98.0M | MP3  | -b 320
